Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Importers,Exported value in 2003,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022
French Polynesia,"6,941","11,741","21,398","23,667","30,689","31,260","28,087","35,309","41,839","47,823","49,490","52,656","103,576","54,516","61,880","77,728","99,674","100,192","132,895","154,535"
Gabon,"8,890","14,158","41,277","63,877","103,846","139,602","154,710","205,807","269,915","427,374","432,706","430,394","667,086","383,085","447,823","386,093","377,262","415,439","436,241","583,253"
Gambia,"115,968","124,230","124,350","162,438","185,557","175,725","167,549","186,784","290,968","257,513","308,521","350,688","332,790","319,027","399,023","426,524","512,481","535,660","543,953","453,677"
Georgia,"19,897","22,884","40,758","78,356","181,328","292,886","191,958","274,932","761,069","740,330","862,092","908,676","768,511","752,653","915,538","1,102,603","1,401,748","1,275,672","1,028,873","1,251,751"
Ghana,"321,786","510,400","672,424","803,092","1,228,016","1,747,886","1,533,701","1,932,872","3,109,948","4,790,753","3,946,028","4,134,566","5,312,801","4,758,050","4,863,362","4,821,886","4,903,256","6,756,191","8,104,178","7,926,011"
Gibraltar,"21,154",752,661,837,996,"23,281","140,995","5,846","28,752","114,585","41,581","8,280","197,708","7,139","3,840","2,757","4,451","2,985","6,029","18,015"
Greenland,569,452,"1,666",495,559,"1,410",342,516,535,447,163,778,"2,614",428,"2,327","3,972","1,008","1,597",536,990
Grenada,429,785,"2,727","4,064","2,996","3,775","3,952","5,111","5,912","19,869","7,572","14,865","12,546","7,451","10,638","13,155","14,590","15,408","20,446","22,751"
Guatemala,"305,617","392,639","473,637","687,586","799,173","934,417","658,823","1,018,467","1,253,975","1,283,708","1,475,308","1,867,281","2,056,521","1,865,949","1,960,373","2,336,547","2,399,670","2,472,503","3,904,451","4,366,063"
Guinea,"73,286","93,017","144,313","175,491","264,634","334,456","281,384","421,350","630,170","753,851","907,476","1,101,459","1,280,205","1,157,374","1,245,911","1,353,330","1,717,429","1,911,678","2,158,472","2,283,329"
Guinea-Bissau,"12,350","5,994","5,794","5,677","7,309","6,147","23,194","9,434","14,851","15,895","11,890","17,153","19,451","21,293","33,706","29,832","31,939","51,431","88,879","56,516"
Guyana,"18,120","21,184","27,209","81,504","65,857","70,978","59,085","83,470","132,625","199,506","160,138","167,286","160,996","184,229","189,296","223,073","272,914","265,470","390,255","577,270"
Haiti,"26,381","22,216","30,197","59,794","81,925","125,898","147,487","255,763","303,639","283,708","323,494","391,379","436,884","457,041","535,728","616,424","560,835","709,271","795,420","634,783"
Honduras,"77,871","123,140","133,805","223,679","274,280","323,609","212,158","322,142","421,889","1,056,653","799,037","686,539","858,663","722,209","847,678","988,836","940,460","922,864","1,584,844","1,560,053"
"Hong Kong, China","76,274,374","100,868,566","124,473,252","155,309,068","184,438,214","190,729,035","166,216,920","218,301,360","267,983,737","323,445,330","384,497,867","363,077,144","334,290,810","292,214,997","280,975,081","302,960,301","278,024,510","271,084,279","348,969,298","297,538,449"
Hungary,"2,286,294","2,650,963","2,493,489","3,287,295","5,016,632","6,096,852","5,343,601","6,518,314","6,806,022","5,737,960","5,692,280","5,764,166","5,198,115","5,422,107","6,042,580","6,540,410","6,472,855","7,403,704","10,141,755","10,472,661"
Iceland,"45,526","45,968","74,698","77,665","92,315","93,137","54,217","71,008","76,581","95,388","146,642","143,759","125,013","133,913","110,499","255,708","114,872","100,877","207,016","311,158"
India,"3,343,225","5,936,008","8,934,277","14,581,297","24,051,380","31,585,381","29,666,560","40,913,958","50,536,416","47,677,452","48,432,411","54,217,422","58,262,004","58,920,648","67,925,121","76,880,637","74,825,299","66,719,472","97,510,656","118,501,523"
Indonesia,"4,481,890","6,256,423","8,350,368","9,449,712","12,695,661","17,193,114","14,720,624","21,953,565","29,220,944","34,285,244","36,930,490","39,059,606","34,375,284","32,375,905","34,805,909","43,246,345","45,648,737","40,980,977","60,649,440","71,318,138"
"Iran, Islamic Republic of","2,315,162","2,554,761","3,296,585","4,488,952","7,363,292","8,163,428","7,918,687","11,092,188","14,761,999","11,598,799","14,036,645","24,338,486","17,831,207","16,578,741","18,642,027","14,008,984","9,589,986","8,491,807","8,277,853","9,440,300"
Iraq,"56,056","149,553","408,109","491,158","724,940","1,271,162","1,838,449","3,589,867","3,824,651","4,911,785","6,894,088","7,743,841","7,925,456","7,656,280","8,348,527","7,917,674","9,461,323","10,922,540","10,689,813","13,989,337"
Israel,"1,140,901","1,541,986","1,954,337","2,561,315","3,673,392","4,257,002","3,652,651","5,037,050","6,740,798","6,988,137","7,645,304","7,739,106","8,624,495","8,260,029","8,949,589","9,315,784","9,614,964","11,253,576","15,298,217","16,481,074"
Jamaica,"102,036","126,066","104,073","179,589","247,499","288,690","196,992","235,623","370,913","786,097","627,059","523,044","630,291","515,087","518,125","584,454","670,704","630,460","809,863","1,039,452"
