Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Exporters,Imported value in 2003,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022
Mauritania,"7,707","50,399","4,057","402,016","569,381","1,044,138","853,928","967,033","1,517,037","1,468,674","1,728,522","1,168,130","745,118","737,804","783,442","858,210","927,810","1,277,054","1,793,730","1,187,143"
Algeria,"99,217","259,078","363,733","143,122","1,160,932","849,219","946,620","1,177,317","1,960,887","2,311,906","2,164,547","1,314,682","781,572","333,205","448,196","1,178,824","1,141,251","997,056","1,080,771","1,143,561"
Chad,"2,838","222,586","191,083","260,313","84,069","41,604","65,367","495,797","265,319","220,729","103,500","108,342","90,692","104,770","279,556","93,922","452,751","421,471","196,798","1,085,584"
Egypt,"152,821","187,936","211,136","216,769","239,739","428,939","752,543","917,930","1,518,340","1,320,737","1,851,607","1,159,517","915,956","549,184","1,334,762","1,834,528","1,000,719","923,483","1,704,408","1,019,820"
Bangladesh,"33,393","57,007","78,603","98,835","114,171","131,910","140,722","268,876","449,036","479,727","602,366","761,108","803,718","861,864","870,833","985,405","1,036,534","799,755","1,046,911","981,507"
Côte d'Ivoire,"36,758","108,455","85,085","125,489","40,637","70,580","62,761","110,529","162,103","142,556","257,133","216,268","144,109","101,366","157,349","254,377","455,673","580,471","641,889","970,219"
Armenia,"1,782","2,156",351,"8,413","37,774","11,506","23,939","46,703","34,632","35,166","73,139","167,173","219,081","274,572","294,824","313,972","531,304","794,487","1,083,855","941,064"
Morocco,"160,972","214,082","277,448","359,406","423,892","461,059","375,014","452,322","475,628","558,416","531,428","518,504","528,613","549,114","644,184","711,068","633,347","595,611","824,651","909,513"
Sudan,"1,441,821","1,705,877","2,614,462","1,943,482","4,171,239","6,325,889","4,684,822","6,671,907","9,541,534","1,554,267","2,100,023","1,521,312","732,863","495,727","580,255","670,035","743,553","766,295","779,804","877,296"
"Bolivia, Plurinational State of","6,880","29,548","31,053","46,495","56,356","150,602","125,494","189,086","274,535","324,195","275,774","492,566","446,775","318,042","351,538","331,526","322,151","291,211","647,690","870,845"
"Venezuela, Bolivarian Republic of","542,159","737,943","1,234,120","2,637,956","3,052,881","6,567,059","4,340,905","6,698,878","11,731,210","14,539,106","13,120,097","11,320,054","6,888,273","5,499,079","7,201,764","7,334,029","4,860,335","534,238","997,793","833,464"
Trinidad and Tobago,"10,243","3,676","18,656","10,210","20,533","24,125","103,311","108,067","340,138","139,662","119,502","100,733","39,252","174,869","182,294","385,092","669,167","334,830","635,536","762,864"
Sierra Leone,0,"1,603","1,361",979,"5,705","5,317","10,541","10,770","28,003","502,909","1,452,659","1,678,696","169,780","236,445","348,479","177,191","193,895","158,492","403,420","762,396"
Jordan,"60,535","88,489","78,865","53,232","82,069","123,175","112,257","164,706","256,722","297,103","169,875","263,204","287,490","211,100","278,941","214,182","434,060","425,730","424,700","743,806"
Cameroon,"115,222","148,906","66,753","199,663","160,018","479,191","397,668","460,904","662,949","890,432","366,169","688,877","781,554","402,926","496,108","1,095,691","1,009,681","761,327","1,636,691","655,930"
Yemen,"1,545,851","1,458,548","2,667,691","2,232,552","1,745,290","3,209,873","1,237,511","2,779,081","3,135,702","3,604,053","3,061,301","2,932,854","891,450","166,014","661,147","717,550","866,625","674,019","470,813","633,257"
Madagascar,"6,956","14,081","13,997","23,810","29,662","65,172","54,822","105,382","103,389","114,443","173,906","118,076","174,754","159,083","225,586","214,707","204,362","138,652","331,900","625,026"
Namibia,"36,951","46,576","76,389","121,857","157,659","282,178","312,381","481,495","224,481","241,268","257,700","317,341","213,152","164,021","296,853","502,981","511,281","562,885","734,598","593,505"
Guatemala,"1,821","42,907","94,693","43,776","46,209","11,503","23,330","36,059","23,345","68,508","173,934","51,398","203,535","99,280","110,323","86,539","198,056","267,097","448,726","573,962"
"Tanzania, United Republic of","27,567","68,269","170,718","152,678","203,600","131,588","195,968","406,945","489,897","379,281","552,548","435,102","378,719","316,971","334,201","393,915","359,733","411,118","604,694","535,802"
Dominican Republic,"3,514","15,590","29,102","94,445","126,342","146,291","98,100","130,741","292,447","409,574","290,011","273,805","211,766","130,495","168,298","181,302","454,333","299,304","347,500","519,257"
Sri Lanka,"19,802","22,590","36,595","34,834","48,032","60,541","70,149","102,275","152,888","161,955","182,564","248,273","259,235","272,991","309,058","340,882","397,008","317,763","650,458","494,815"
Eritrea,0,511,408,708,"2,519","2,474",422,"1,054",871,"1,259","50,934","321,685","187,285","170,972","165,307","314,578","206,064","308,630","389,732","461,791"
Cuba,"120,507","194,943","236,955","528,313","1,115,463","903,057","574,439","764,609","904,045","569,203","504,634","333,015","330,656","273,747","395,879","479,985","492,711","470,010","446,931","457,959"
Ethiopia,"4,738","14,386","85,709","131,823","87,130","81,656","214,756","273,970","292,059","309,366","315,688","489,954","380,295","421,157","357,495","345,313","343,953","338,771","366,007","453,605"
Botswana,"2,176","2,861","4,004","8,166","26,435","183,913","65,287","53,366","100,668","119,479","193,858","213,879","142,933","62,156","33,262","14,230","17,134","87,486","172,616","398,377"
Tajikistan,"18,008","15,366","14,197","18,002","10,285","20,244","184,985","56,048","72,228","108,829","88,751","47,699","50,200","31,243","46,733","76,804","84,620","45,293","175,469","381,753"
Greenland,"22,171","20,578","29,339","30,040","37,995","36,456","44,260","54,548","47,937","57,448","72,135","64,522","90,070","101,198","133,378","231,912","273,715","259,990","238,238","367,082"
Niger,0,12,1,927,45,68,48,171,"2,105","37,163","15,875","79,123","141,037","125,814","99,456","171,113","223,868","224,696","369,379","317,709"
Solomon Islands,"32,638","57,952","96,603","124,862","182,338","214,986","178,105","287,054","348,807","377,698","404,521","473,834","460,958","376,200","556,734","631,846","461,119","355,240","320,645","301,530"
Senegal,"6,283","3,941","7,880","9,361","22,531","4,970","41,975","51,160","68,709","51,356","39,730","47,019","111,785","161,561","149,799","128,509","300,786","315,088","439,519","269,514"
Kenya,"8,736","16,969","17,652","24,416","28,112","34,723","29,662","39,208","59,691","52,408","52,783","77,039","98,662","97,101","166,791","174,200","178,907","150,595","226,537","269,340"
Benin,"68,398","111,273","139,393","89,383","113,159","110,162","93,782","125,632","176,475","261,538","206,007","266,631","78,132","55,316","91,574","48,324","154,357","58,248","231,569","257,036"
Tunisia,"17,045","34,131","44,088","50,533","30,318","90,308","107,524","124,900","219,462","176,976","176,729","211,920","184,519","138,711","196,993","194,965","209,105","222,718","282,724","254,570"
Bahrain,"52,130","92,396","68,940","64,815","102,446","131,317","211,237","251,912","325,836","348,345","305,181","183,964","111,579","63,635","123,886","150,437","195,330","146,309","399,514","251,211"
Azerbaijan,"34,669","40,209","24,401","22,019","1,442","114,864","128,317","86,547","193,720","214,162","233,583","297,063","226,373","412,075","577,445","382,090","869,232","698,780","205,027","245,870"
South Sudan,0,0,0,0,0,0,0,0,0,"499,465","2,468,344","4,329,242","2,322,967","1,455,878","1,269,079","1,588,452","1,533,203","683,242","299,413","236,972"
El Salvador,"2,056","3,786","10,499","3,891","4,728","5,948","3,472","7,505","6,377","7,365","8,988","10,472","53,907","45,777","114,364","164,703","113,313","171,781","218,853","233,421"
Togo,"22,114","46,472","31,874","21,599","26,105","30,900","36,373","61,619","76,599","84,811","117,944","166,441","214,942","105,320","73,167","145,762","180,437","164,200","532,878","192,294"
Iceland,"22,777","27,337","46,732","39,988","35,649","35,106","33,253","41,320","75,599","88,961","75,799","59,757","65,967","95,159","110,063","165,756","142,692","104,646","151,816","190,579"
Albania,58,"5,957","7,043","12,842","66,341","88,259","64,320","147,573","155,368","142,721","234,841","189,322","128,655","129,361","198,078","107,862","102,721","81,121","164,152","186,301"
"Macedonia, North","14,727","1,465","12,654","2,869","9,826","13,275","24,093","91,756","154,308","139,606","107,973","90,585","136,409","46,065","86,442","48,374","147,059","227,133","371,131","178,971"
